Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu (Euros/mes) T1,Preu (Euros/mes) T2,Preu (Euros/mes) T3,Preu (Euros/mes) T4,Preu (Euros/m2 mes) T1,Preu (Euros/m2 mes) T2,Preu (Euros/m2 mes) T3,Preu (Euros/m2 mes) T4,Preu (Euros/mes) Mean,Preu (Euros/mes) Std,Preu (Euros/m2 mes) Mean,Preu (Euros/m2 mes) Std,Infraccion_gravedad,accidentes_mati,accidentes_tarde,accidentes_nit,accidentes,accidentes_tipo,accidentes_tipo_count,Indice_Sonido_Dia,Indice_Sonido_Tarde,Indice_Sonido_Noche,Indice_Sonido,indice
8,Nou Barris,45,Porta,332.39500000000004,325.85,340.755,346.92,10.21,10.75,11.08,11.01,336.48,9.254788850463662,10.7625,0.3947467542615134,755,42,41,6.0,89,Altres,20,0.37538125,0.32956875,0.21784375,0.28286875,0.729560195738078
8,Nou Barris,46,el Turó de la Peira,298.67,305.63,312.13,332.305,10.32,10.42,10.46,11.09,312.18375,14.496444032359568,10.572500000000002,0.34998809503562617,250,9,16,4.0,29,Manca d'atenció a la conducció,5,0.319475,0.271,0.16,0.22519500000000003,0.8276720580753169
8,Nou Barris,47,Can Peguera,209.45000000000002,209.45000000000002,209.45000000000002,209.45000000000002,11.68,11.68,11.68,11.68,209.45000000000002,0.0,11.68,0.0,161,6,11,,17,No respectat pas de vianants,3,0.33353125,0.26768749999999997,0.15743749999999998,0.22573125,0.875351183318889
8,Nou Barris,48,la Guineueta,321.835,320.655,317.37,351.615,9.13,8.88,9.51,9.83,327.86875,15.943153899087857,9.3375,0.41820051012243675,394,22,16,9.0,47,Manca d'atenció a la conducció,11,0.36788125,0.3273375,0.2162125,0.27988375,0.7491043828195152
8,Nou Barris,49,Canyelles,348.835,343.09,355.145,332.555,8.05,8.68,8.79,8.96,344.90625,9.593734391952548,8.620000000000001,0.39707262140150945,304,13,13,3.0,29,Manca d'atenció a la conducció,13,0.30526875,0.26931875,0.157975,0.220836875,0.8167419877677291
8,Nou Barris,50,les Roquetes,256.86,258.04,285.39,288.02,9.41,10.11,10.22,10.86,272.0775,16.931328703520762,10.15,0.5939135739594886,421,16,24,5.0,45,Manca d'atenció a la conducció,13,0.31435,0.26920625,0.16298125,0.2251225,0.8397362110083247
8,Nou Barris,51,Verdun,303.39,295.08,302.28499999999997,306.025,11.3,10.49,10.93,11.68,301.695,4.68074958384516,11.1,0.5090514053937316,200,7,13,1.0,21,Manca d'atenció a la conducció,5,0.32371875000000006,0.26786875,0.16911874999999998,0.22966375,0.8285177521673318
8,Nou Barris,52,la Prosperitat,318.095,314.21500000000003,318.43,326.32500000000005,11.61,10.82,11.2,11.44,319.26625,5.079770951201122,11.267499999999998,0.34247870980057493,760,22,43,13.0,78,Manca d'atenció a la conducció,18,0.34593125,0.30558124999999997,0.20337500000000003,0.262548125,0.7618194537536044
8,Nou Barris,53,la Trinitat Nova,275.34999999999997,271.995,274.66,281.015,10.02,10.69,10.87,10.81,275.755,3.7933384592818236,10.5975,0.39220530338076776,831,32,45,11.0,88,Manca d'atenció a la conducció,31,0.40900625,0.36003749999999995,0.23208125,0.305853125,0.725738811371455
8,Nou Barris,54,Torre Baró,212.665,225.12333333333333,235.005,227.70000000000002,7.26,7.09,6.84,7.17,225.12333333333333,9.30047698896257,7.09,0.18055470085267789,244,9,17,2.0,28,Altres,6,0.323675,0.28803124999999996,0.1849125,0.24360062500000002,0.843818358938326
